No.,fomula,Oct1,,,,Oct2,,,,Oct3,,,,Oct4,,,,Oct5,,,,Oct6,,,,Oct7,,,,Oct8,,,
,,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion
13,Cl24Cs8Sn8,0.0,0.0,-0.04999876022499983,-0.04999685287500011,0.0,0.0,-0.04999876022499983,-0.04999685287500011,0.0,0.0,-0.04999876022499983,-0.04999685287500011,0.0,0.0,-0.04999876022499983,-0.04999685287500011,0.0,0.0,-0.04999876022499983,-0.04999685287500011,0.0,0.0,-0.04999876022499983,-0.04999685287500011,0.0,0.0,-0.04999876022499983,-0.04999685287500011,0.0,0.0,-0.04999876022499983,-0.04999685287500011
14,Br24Cs8Sn8,0.0,0.0,0.07603859902499988,0.07603931427499999,0.0,0.0,0.07603859902499988,0.07603931427499999,0.0,0.0,0.07603859902499988,0.07603931427499999,0.0,0.0,0.07603859902499988,0.07603931427499999,0.0,0.0,0.07603859902499988,0.07603931427499999,0.0,0.0,0.07603859902499988,0.07603931427499999,0.0,0.0,0.07603859902499988,0.07603931427499955,0.0,0.0,0.07603859902499988,0.07603931427499955
15,Cs8I24Sn8,0.0,0.0,0.27615213395000016,0.2761535644624997,0.0,0.0,0.27615213395000016,0.2761535644624997,0.0,0.0,0.27615213395000016,0.2761535644624997,0.0,0.0,0.27615213395000016,0.2761535644624997,0.0,0.0,0.27615213395000016,0.27615356446250017,0.0,0.0,0.27615213395000016,0.27615356446250017,0.0,0.0,0.27615213395000016,0.2761535644624997,0.0,0.0,0.27615213395000016,0.2761535644624997
16,Cl24Cs8Pb8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Br24Cs8Pb8,0.0,0.0,0.13127613067499988,0.13127803802500004,0.0,0.0,0.13127613067499988,0.13127803802500004,0.0,0.0,0.13127613067499988,0.1312780380249996,0.0,0.0,0.13127613067499988,0.1312780380249996,0.0,0.0,0.13127613067499988,0.13127803802500004,0.0,0.0,0.13127613067499988,0.13127803802500004,0.0,0.0,0.13127613067499988,0.13127803802500004,0.0,0.0,0.13127613067499988,0.13127803802500004
18,Cs8I24Pb8,0.0,0.0,0.3303608894250001,0.3303629159875001,0.0,0.0,0.3303608894250001,0.3303629159875001,0.0,0.0,0.3303608894250001,0.3303629159875001,0.0,0.0,0.3303608894250001,0.3303629159875001,0.0,0.0,0.3303608894250001,0.3303629159874997,0.0,0.0,0.3303608894250001,0.3303629159874997,0.0,0.0,0.3303608894250001,0.3303629159875001,0.0,0.0,0.3303608894250001,0.3303629159875001
19,C8H40Cl24Ge8N16,12.200472721468115,9.460303158693979,0.05558719305641846,0.022032102256472896,12.200472721468085,9.46030376291329,0.0555870188959271,0.022032102256472896,12.200472721468115,9.460278288231892,0.055587142295412395,0.022032097081285507,12.200472721468085,9.460278892449727,0.05558696813491748,0.022032097081285507,12.200472721468115,9.460299990541296,0.05558718663880802,0.02203206175385697,12.200472721468143,9.460300594760378,0.05558701247831577,0.02203206175385697,12.200472721468115,9.460275120071298,0.05558713587780284,0.022032056578669135,12.200472721468085,9.460275724288904,0.05558696171730704,0.022032056578668247
20,C8H40Br24Ge8N16,4.787483176258386,21.538179505506353,0.06663673007531168,-0.06741117983076617,4.787483176258309,21.53817889906012,0.06663680934822613,-0.06741115888231253,4.787483176258386,21.538189165542374,0.06663677626286324,-0.06741119035364429,4.787483176258309,21.538188559095886,0.0666368555357768,-0.0674111694051911,4.787483176258386,21.538172462985106,0.06663669626630142,-0.06741125728103237,4.787483176258309,21.538171856539027,0.06663677553921676,-0.06741123633257784,4.787483176258386,21.538182123024562,0.06663674245385343,-0.06741126780391093,4.787483176258309,21.538181516578202,0.06663682172676744,-0.0674112468554573
21,C8H40Ge8I24N16,3.1154441800477684,22.359195635444628,0.23464580411709024,0.4582086295912946,3.1154441800478856,22.359194926130122,0.23464589963754667,0.45820863476801854,3.1154441800477684,22.35919860825581,0.2346458198561403,0.4582086299075616,3.1154441800478856,22.359197898941225,0.23464591537659585,0.458208635084286,3.1154441800477684,22.359181670260526,0.2346457300238982,0.4582087344080801,3.1154441800478856,22.35918096094648,0.2346458255443573,0.4582087395848031,3.1154441800477684,22.359184643073743,0.23464574576294828,0.45820873472434753,3.1154441800478856,22.359183933759645,0.23464584128340693,0.458208739901071
22,C8H40Cl24N16Sn8,11.387101611247001,8.482416044909908,0.07949439011971515,0.08658684412940776,11.387101611247001,8.48241656676822,0.07949421429928938,0.08658684412940776,11.387101611247001,8.482416044909908,0.07949439011971515,0.08658701682826475,11.387101611247001,8.48241656676822,0.07949421429928938,0.08658701682826475,11.387101611247001,8.482415594850327,0.07949438927530705,0.08658682647591931,11.387101611247001,8.482416116708563,0.07949421345488084,0.08658682647591887,11.387101611247001,8.482415594850327,0.07949438927530705,0.0865869991747763,11.387101611247001,8.482416116708563,0.07949421345488084,0.0865869991747763
